City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
265,Katherine,AU,-14.4667,132.2667,95.32,20,5,14.97,clear sky
266,Magadan,RU,59.5667,150.8,48.18,88,60,5.95,broken clouds
267,Lewiston,US,44.1003,-70.2148,67.33,98,1,5.75,clear sky
268,Nanortalik,GL,60.1432,-45.2371,41.22,92,100,10.78,light rain
269,Qeshm,IR,26.9581,56.2719,85.89,75,0,12.03,clear sky
270,Grottammare,IT,42.9888,13.8649,68.83,74,2,3.98,clear sky
271,Saint-Augustin,CA,51.226,-58.6502,55.42,73,100,7.9,overcast clouds
272,Old Town,CZ,50.087,14.4202,55.96,85,90,1.01,overcast clouds
273,Barguzin,RU,53.6167,109.6167,54.54,59,100,5.44,overcast clouds
274,Monteria,CO,8.748,-75.8814,76.96,93,100,8.34,overcast clouds
275,Bela,IN,25.9333,81.9833,81.64,78,5,1.23,clear sky
276,Los Llanos De Aridane,ES,28.6585,-17.9182,71.35,79,0,9.22,clear sky
277,Aberystwyth,GB,52.4155,-4.0829,57.67,93,62,4.56,broken clouds
278,Saint-Leu,RE,-21.15,55.2833,67.03,74,98,15.23,overcast clouds
279,Swellendam,ZA,-34.0226,20.4417,46.78,57,0,5.5,clear sky
280,Male,MV,4.1748,73.5089,82.53,75,100,7.99,overcast clouds
281,Moerai,PF,-22.4333,-151.3333,73.29,66,6,16.13,clear sky
282,Lompoc,US,34.6391,-120.4579,64.02,77,1,10.36,clear sky
283,Curuguaty,PY,-24.4694,-55.6945,77.7,55,92,3.85,overcast clouds
284,Cairns,AU,-16.9167,145.7667,87.06,56,90,19.57,overcast clouds
285,Rio Gallegos,AR,-51.6226,-69.2181,41.05,87,75,17.27,broken clouds
286,Shimoda,JP,34.6667,138.95,77.36,77,95,19.55,overcast clouds
287,Dingle,PH,10.9995,122.6711,84.76,73,25,1.52,scattered clouds
288,Kabala,SL,9.5833,-11.55,68.9,98,93,1.19,light rain
289,Buguruslan,RU,53.6554,52.442,33.64,90,7,5.64,clear sky
290,Saint Anthony,US,45.0205,-93.218,72.14,52,1,8.01,clear sky
291,Ponta Do Sol,PT,32.6667,-17.1,72.23,64,17,7.54,few clouds
292,Moche,PE,-8.1711,-79.0092,62.29,88,80,8.43,broken clouds
293,Jining,CN,35.405,116.5814,72.95,84,99,14.23,overcast clouds
294,Skjervoy,NO,70.0311,20.9714,47.14,69,100,11.25,overcast clouds
295,Mega,ET,4.05,38.3,62.19,59,81,16.51,broken clouds
